budget,original_language,popularity,revenue,runtime,title,vote_average,vote_count,profit,profit_margin,hit_or_flop
237000000,en,150.437577,2787965087,162.0,Avatar,7.2,11800,2550965087,1076.356576793249,Hit
300000000,en,139.082615,961000000,169.0,Pirates of the Caribbean: At World's End,6.9,4500,661000000,220.33333333333331,Flop
245000000,en,107.376788,880674609,148.0,Spectre,6.3,4466,635674609,259.45902408163266,Flop
250000000,en,112.31295,1084939099,165.0,The Dark Knight Rises,7.6,9106,834939099,333.97563959999997,Hit
260000000,en,43.926995,284139100,132.0,John Carter,6.1,2124,24139100,9.284269230769231,Flop
258000000,en,115.699814,890871626,139.0,Spider-Man 3,5.9,3576,632871626,245.29907984496126,Flop
260000000,en,48.681969,591794936,100.0,Tangled,7.4,3330,331794936,127.61343692307692,Hit
280000000,en,134.279229,1405403694,141.0,Avengers: Age of Ultron,7.3,6767,1125403694,401.9298907142857,Hit
250000000,en,98.885637,933959197,153.0,Harry Potter and the Half-Blood Prince,7.4,5293,683959197,273.5836788,Hit
250000000,en,155.790452,873260194,151.0,Batman v Superman: Dawn of Justice,5.7,7004,623260194,249.3040776,Flop
270000000,en,57.925623,391081192,154.0,Superman Returns,5.4,1400,121081192,44.84488592592592,Flop
200000000,en,107.928811,586090727,106.0,Quantum of Solace,6.1,2965,386090727,193.04536349999998,Flop
200000000,en,145.847379,1065659812,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,865659812,432.829906,Hit
255000000,en,49.046956,89289910,149.0,The Lone Ranger,5.9,2311,-165710090,-64.98434901960785,Flop
225000000,en,99.398009,662845518,143.0,Man of Steel,6.5,6359,437845518,194.598008,Flop
225000000,en,53.978602,419651413,150.0,The Chronicles of Narnia: Prince Caspian,6.3,1630,194651413,86.51173911111111,Flop
220000000,en,144.448633,1519557910,143.0,The Avengers,7.4,11776,1299557910,590.708140909091,Hit
380000000,en,135.413856,1045713802,136.0,Pirates of the Caribbean: On Stranger Tides,6.4,4948,665713802,175.18784263157895,Flop
225000000,en,52.035179,624026776,106.0,Men in Black 3,6.2,4160,399026776,177.34523377777776,Flop
250000000,en,120.965743,956019788,144.0,The Hobbit: The Battle of the Five Armies,7.1,4760,706019788,282.4079152,Hit
215000000,en,89.866276,752215857,136.0,The Amazing Spider-Man,6.5,6586,537215857,249.86784046511627,Flop
200000000,en,37.668301,310669540,140.0,Robin Hood,6.2,1398,110669540,55.33477,Flop
250000000,en,94.370564,958400000,161.0,The Hobbit: The Desolation of Smaug,7.6,4524,708400000,283.36,Hit
180000000,en,42.990906,372234864,113.0,The Golden Compass,5.8,1303,192234864,106.79714666666666,Flop
207000000,en,61.22601,550000000,187.0,King Kong,6.6,2337,343000000,165.70048309178745,Flop
